SampleID	latitude_deg	longitude_deg
550.L1S158.s.1.sequence	40.015	-105.271
550.L1S159.s.1.sequence	40.015	-105.271
550.L1S16.s.1.sequence	40.015	-105.271
550.L1S160.s.1.sequence	40.015	-105.271
550.L1S161.s.1.sequence	40.015	-105.271
550.L1S162.s.1.sequence	40.015	-105.271
550.L1S163.s.1.sequence	40.015	-105.271
550.L1S164.s.1.sequence	40.015	-105.271
550.L1S165.s.1.sequence	40.015	-105.271
550.L1S166.s.1.sequence	40.015	-105.271
550.L1S167.s.1.sequence	40.015	-105.271
550.L1S168.s.1.sequence	40.015	-105.271
550.L1S169.s.1.sequence	40.015	-105.271
550.L1S17.s.1.sequence	40.015	-105.271
550.L1S170.s.1.sequence	40.015	-105.271
550.L1S171.s.1.sequence	40.015	-105.271
550.L1S172.s.1.sequence	40.015	-105.271
550.L1S173.s.1.sequence	40.015	-105.271
550.L1S174.s.1.sequence	40.015	-105.271
550.L1S175.s.1.sequence	40.015	-105.271
550.L1S176.s.1.sequence	40.015	-105.271
550.L1S177.s.1.sequence	40.015	-105.271
550.L1S178.s.1.sequence	40.015	-105.271
550.L1S179.s.1.sequence	40.015	-105.271
550.L1S18.s.1.sequence	40.015	-105.271
550.L1S180.s.1.sequence	40.015	-105.271
550.L1S181.s.1.sequence	40.015	-105.271
550.L1S182.s.1.sequence	40.015	-105.271
550.L1S183.s.1.sequence	40.015	-105.271
550.L1S184.s.1.sequence	40.015	-105.271
550.L1S185.s.1.sequence	40.015	-105.271
550.L1S186.s.1.sequence	40.015	-105.271
550.L1S187.s.1.sequence	40.015	-105.271
550.L1S188.s.1.sequence	40.015	-105.271
550.L1S189.s.1.sequence	40.015	-105.271
550.L1S19.s.1.sequence	40.015	-105.271
550.L1S190.s.1.sequence	40.015	-105.271
550.L1S191.s.1.sequence	40.015	-105.271
550.L1S193.s.1.sequence	40.015	-105.271
550.L1S194.s.1.sequence	40.015	-105.271
550.L1S195.s.1.sequence	40.015	-105.271
550.L1S196.s.1.sequence	40.015	-105.271
550.L1S197.s.1.sequence	40.015	-105.271
550.L1S198.s.1.sequence	40.015	-105.271
550.L1S199.s.1.sequence	40.015	-105.271
550.L1S2.s.1.sequence	40.015	-105.271
550.L1S20.s.1.sequence	40.015	-105.271
550.L1S200.s.1.sequence	40.015	-105.271
550.L1S201.s.1.sequence	40.015	-105.271
550.L1S202.s.1.sequence	40.015	-105.271
550.L1S203.s.1.sequence	40.015	-105.271
550.L1S204.s.1.sequence	40.015	-105.271
550.L1S205.s.1.sequence	40.015	-105.271
550.L1S206.s.1.sequence	40.015	-105.271
550.L1S207.s.1.sequence	40.015	-105.271
550.L1S208.s.1.sequence	40.015	-105.271
550.L1S209.s.1.sequence	40.015	-105.271
550.L1S21.s.1.sequence	40.015	-105.271
550.L1S210.s.1.sequence	40.015	-105.271
550.L1S212.s.1.sequence	40.015	-105.271
550.L1S213.s.1.sequence	40.015	-105.271
550.L1S214.s.1.sequence	40.015	-105.271
550.L1S215.s.1.sequence	40.015	-105.271
550.L1S216.s.1.sequence	40.015	-105.271
550.L1S217.s.1.sequence	40.015	-105.271
550.L1S218.s.1.sequence	40.015	-105.271
550.L1S219.s.1.sequence	40.015	-105.271
550.L1S22.s.1.sequence	40.015	-105.271
550.L1S220.s.1.sequence	40.015	-105.271
550.L1S221.s.1.sequence	40.015	-105.271
550.L1S222.s.1.sequence	40.015	-105.271
550.L1S223.s.1.sequence	40.015	-105.271
550.L1S224.s.1.sequence	40.015	-105.271
550.L1S225.s.1.sequence	40.015	-105.271
550.L1S226.s.1.sequence	40.015	-105.271
550.L1S228.s.1.sequence	40.015	-105.271
550.L1S229.s.1.sequence	40.015	-105.271
550.L1S23.s.1.sequence	40.015	-105.271
550.L1S231.s.1.sequence	40.015	-105.271
550.L1S232.s.1.sequence	40.015	-105.271
550.L1S233.s.1.sequence	40.015	-105.271
550.L1S234.s.1.sequence	40.015	-105.271
550.L1S235.s.1.sequence	40.015	-105.271
550.L1S236.s.1.sequence	40.015	-105.271
550.L1S237.s.1.sequence	40.015	-105.271
550.L1S238.s.1.sequence	40.015	-105.271
550.L1S239.s.1.sequence	40.015	-105.271
550.L1S24.s.1.sequence	40.015	-105.271
550.L1S240.s.1.sequence	40.015	-105.271
550.L1S241.s.1.sequence	40.015	-105.271
550.L1S242.s.1.sequence	40.015	-105.271
550.L1S243.s.1.sequence	40.015	-105.271
550.L1S244.s.1.sequence	40.015	-105.271
550.L1S245.s.1.sequence	40.015	-105.271
550.L1S246.s.1.sequence	40.015	-105.271
550.L1S247.s.1.sequence	40.015	-105.271
550.L1S248.s.1.sequence	40.015	-105.271
550.L1S249.s.1.sequence	40.015	-105.271
550.L1S25.s.1.sequence	40.015	-105.271
550.L1S250.s.1.sequence	40.015	-105.271
550.L1S251.s.1.sequence	40.015	-105.271
550.L1S252.s.1.sequence	40.015	-105.271
550.L1S253.s.1.sequence	40.015	-105.271
550.L1S254.s.1.sequence	40.015	-105.271
550.L1S255.s.1.sequence	40.015	-105.271
550.L1S256.s.1.sequence	40.015	-105.271
550.L1S257.s.1.sequence	40.015	-105.271
550.L1S258.s.1.sequence	40.015	-105.271
550.L1S259.s.1.sequence	40.015	-105.271
550.L1S26.s.1.sequence	40.015	-105.271
550.L1S260.s.1.sequence	40.015	-105.271
550.L1S261.s.1.sequence	40.015	-105.271
550.L1S262.s.1.sequence	40.015	-105.271
550.L1S263.s.1.sequence	40.015	-105.271
550.L1S264.s.1.sequence	40.015	-105.271
550.L1S266.s.1.sequence	40.015	-105.271
550.L1S267.s.1.sequence	40.015	-105.271
550.L1S268.s.1.sequence	40.015	-105.271
550.L1S269.s.1.sequence	40.015	-105.271
550.L1S27.s.1.sequence	40.015	-105.271
550.L1S270.s.1.sequence	40.015	-105.271
550.L1S271.s.1.sequence	40.015	-105.271
550.L1S272.s.1.sequence	40.015	-105.271
550.L1S273.s.1.sequence	40.015	-105.271
550.L1S274.s.1.sequence	40.015	-105.271
550.L1S275.s.1.sequence	40.015	-105.271
550.L1S276.s.1.sequence	40.015	-105.271
550.L1S277.s.1.sequence	40.015	-105.271
550.L1S278.s.1.sequence	40.015	-105.271
550.L1S279.s.1.sequence	40.015	-105.271
550.L1S28.s.1.sequence	40.015	-105.271
550.L1S280.s.1.sequence	40.015	-105.271
550.L1S281.s.1.sequence	40.015	-105.271
550.L1S282.s.1.sequence	40.015	-105.271
550.L1S283.s.1.sequence	40.015	-105.271
550.L1S284.s.1.sequence	40.015	-105.271
550.L1S285.s.1.sequence	40.015	-105.271
550.L1S286.s.1.sequence	40.015	-105.271
550.L1S287.s.1.sequence	40.015	-105.271
550.L1S289.s.1.sequence	40.015	-105.271
550.L1S29.s.1.sequence	40.015	-105.271
550.L1S290.s.1.sequence	40.015	-105.271
550.L1S291.s.1.sequence	40.015	-105.271
550.L1S292.s.1.sequence	40.015	-105.271
550.L1S293.s.1.sequence	40.015	-105.271
550.L1S294.s.1.sequence	40.015	-105.271
550.L1S295.s.1.sequence	40.015	-105.271
550.L1S296.s.1.sequence	40.015	-105.271
550.L1S297.s.1.sequence	40.015	-105.271
550.L1S298.s.1.sequence	40.015	-105.271
550.L1S299.s.1.sequence	40.015	-105.271
550.L1S3.s.1.sequence	40.015	-105.271
550.L1S30.s.1.sequence	40.015	-105.271
550.L1S300.s.1.sequence	40.015	-105.271
550.L1S301.s.1.sequence	40.015	-105.271
550.L1S302.s.1.sequence	40.015	-105.271
550.L1S303.s.1.sequence	40.015	-105.271
550.L1S304.s.1.sequence	40.015	-105.271
550.L1S305.s.1.sequence	40.015	-105.271
550.L1S306.s.1.sequence	40.015	-105.271
550.L1S307.s.1.sequence	40.015	-105.271
550.L1S308.s.1.sequence	40.015	-105.271
550.L1S309.s.1.sequence	40.015	-105.271
550.L1S31.s.1.sequence	40.015	-105.271
550.L1S310.s.1.sequence	40.015	-105.271
550.L1S311.s.1.sequence	40.015	-105.271
550.L1S312.s.1.sequence	40.015	-105.271
550.L1S313.s.1.sequence	40.015	-105.271
550.L1S314.s.1.sequence	40.015	-105.271
550.L1S315.s.1.sequence	40.015	-105.271
550.L1S316.s.1.sequence	40.015	-105.271
550.L1S317.s.1.sequence	40.015	-105.271
550.L1S318.s.1.sequence	40.015	-105.271
550.L1S319.s.1.sequence	40.015	-105.271
550.L1S32.s.1.sequence	40.015	-105.271
550.L1S320.s.1.sequence	40.015	-105.271
550.L1S321.s.1.sequence	40.015	-105.271
550.L1S322.s.1.sequence	40.015	-105.271
550.L1S323.s.1.sequence	40.015	-105.271
550.L1S324.s.1.sequence	40.015	-105.271
550.L1S325.s.1.sequence	40.015	-105.271
550.L1S326.s.1.sequence	40.015	-105.271
550.L1S327.s.1.sequence	40.015	-105.271
550.L1S328.s.1.sequence	40.015	-105.271
550.L1S329.s.1.sequence	40.015	-105.271
550.L1S33.s.1.sequence	40.015	-105.271
550.L1S330.s.1.sequence	40.015	-105.271
550.L1S331.s.1.sequence	40.015	-105.271
550.L1S332.s.1.sequence	40.015	-105.271
550.L1S333.s.1.sequence	40.015	-105.271
550.L1S334.s.1.sequence	40.015	-105.271
550.L1S335.s.1.sequence	40.015	-105.271
550.L1S336.s.1.sequence	40.015	-105.271
550.L1S337.s.1.sequence	40.015	-105.271
550.L1S338.s.1.sequence	40.015	-105.271
550.L1S339.s.1.sequence	40.015	-105.271
550.L1S34.s.1.sequence	40.015	-105.271
550.L1S340.s.1.sequence	40.015	-105.271
550.L1S341.s.1.sequence	40.015	-105.271
550.L1S342.s.1.sequence	40.015	-105.271
550.L1S343.s.1.sequence	40.015	-105.271
550.L1S344.s.1.sequence	40.015	-105.271
550.L1S345.s.1.sequence	40.015	-105.271
550.L1S346.s.1.sequence	40.015	-105.271
550.L1S347.s.1.sequence	40.015	-105.271
550.L1S348.s.1.sequence	40.015	-105.271
550.L1S349.s.1.sequence	40.015	-105.271
550.L1S35.s.1.sequence	40.015	-105.271
550.L1S350.s.1.sequence	40.015	-105.271
550.L1S351.s.1.sequence	40.015	-105.271
550.L1S352.s.1.sequence	40.015	-105.271
550.L1S353.s.1.sequence	40.015	-105.271
550.L1S354.s.1.sequence	40.015	-105.271
550.L1S355.s.1.sequence	40.015	-105.271
550.L1S356.s.1.sequence	40.015	-105.271
550.L1S357.s.1.sequence	40.015	-105.271
550.L1S358.s.1.sequence	40.015	-105.271
550.L1S359.s.1.sequence	40.015	-105.271
550.L1S36.s.1.sequence	40.015	-105.271
550.L1S360.s.1.sequence	40.015	-105.271
550.L1S361.s.1.sequence	40.015	-105.271
550.L1S362.s.1.sequence	40.015	-105.271
550.L1S363.s.1.sequence	40.015	-105.271
550.L1S364.s.1.sequence	40.015	-105.271
550.L1S365.s.1.sequence	40.015	-105.271
550.L1S366.s.1.sequence	40.015	-105.271
550.L1S367.s.1.sequence	40.015	-105.271
550.L1S368.s.1.sequence	40.015	-105.271
550.L1S369.s.1.sequence	40.015	-105.271
550.L1S37.s.1.sequence	40.015	-105.271
550.L1S370.s.1.sequence	40.015	-105.271
550.L1S371.s.1.sequence	40.015	-105.271
550.L1S372.s.1.sequence	40.015	-105.271
550.L1S374.s.1.sequence	40.015	-105.271
550.L1S375.s.1.sequence	40.015	-105.271
550.L1S376.s.1.sequence	40.015	-105.271
550.L1S378.s.1.sequence	40.015	-105.271
550.L1S379.s.1.sequence	40.015	-105.271
550.L1S38.s.1.sequence	40.015	-105.271
550.L1S380.s.1.sequence	40.015	-105.271
550.L1S381.s.1.sequence	40.015	-105.271
550.L1S382.s.1.sequence	40.015	-105.271
550.L1S383.s.1.sequence	40.015	-105.271
550.L1S39.s.1.sequence	40.015	-105.271
550.L1S4.s.1.sequence	40.015	-105.271
550.L1S40.s.1.sequence	40.015	-105.271
550.L1S41.s.1.sequence	40.015	-105.271
550.L1S42.s.1.sequence	40.015	-105.271
550.L1S43.s.1.sequence	40.015	-105.271
550.L1S44.s.1.sequence	40.015	-105.271
550.L1S45.s.1.sequence	40.015	-105.271
550.L1S46.s.1.sequence	40.015	-105.271
550.L1S47.s.1.sequence	40.015	-105.271
550.L1S48.s.1.sequence	40.015	-105.271
550.L1S49.s.1.sequence	40.015	-105.271
550.L1S5.s.1.sequence	40.015	-105.271
550.L1S50.s.1.sequence	40.015	-105.271
550.L1S51.s.1.sequence	40.015	-105.271
550.L1S52.s.1.sequence	40.015	-105.271
550.L1S53.s.1.sequence	40.015	-105.271
550.L1S54.s.1.sequence	40.015	-105.271
550.L1S55.s.1.sequence	40.015	-105.271
550.L1S56.s.1.sequence	40.015	-105.271
550.L1S57.s.1.sequence	40.015	-105.271
550.L1S58.s.1.sequence	40.015	-105.271
550.L1S59.s.1.sequence	40.015	-105.271
550.L1S6.s.1.sequence	40.015	-105.271
550.L1S60.s.1.sequence	40.015	-105.271
550.L1S61.s.1.sequence	40.015	-105.271
550.L1S62.s.1.sequence	40.015	-105.271
550.L1S63.s.1.sequence	40.015	-105.271
550.L1S64.s.1.sequence	40.015	-105.271
550.L1S65.s.1.sequence	40.015	-105.271
550.L1S66.s.1.sequence	40.015	-105.271
550.L1S67.s.1.sequence	40.015	-105.271
550.L1S68.s.1.sequence	40.015	-105.271
550.L1S69.s.1.sequence	40.015	-105.271
550.L1S7.s.1.sequence	40.015	-105.271
550.L1S70.s.1.sequence	40.015	-105.271
550.L1S71.s.1.sequence	40.015	-105.271
550.L1S72.s.1.sequence	40.015	-105.271
550.L1S73.s.1.sequence	40.015	-105.271
550.L1S74.s.1.sequence	40.015	-105.271
550.L1S75.s.1.sequence	40.015	-105.271
550.L1S76.s.1.sequence	40.015	-105.271
550.L1S77.s.1.sequence	40.015	-105.271
550.L1S78.s.1.sequence	40.015	-105.271
550.L1S79.s.1.sequence	40.015	-105.271
550.L1S8.s.1.sequence	40.015	-105.271
550.L1S80.s.1.sequence	40.015	-105.271
550.L1S81.s.1.sequence	40.015	-105.271
550.L1S82.s.1.sequence	40.015	-105.271
550.L1S83.s.1.sequence	40.015	-105.271
550.L1S84.s.1.sequence	40.015	-105.271
550.L1S85.s.1.sequence	40.015	-105.271
550.L1S86.s.1.sequence	40.015	-105.271
550.L1S87.s.1.sequence	40.015	-105.271
550.L1S88.s.1.sequence	40.015	-105.271
550.L1S89.s.1.sequence	40.015	-105.271
550.L1S9.s.1.sequence	40.015	-105.271
550.L1S90.s.1.sequence	40.015	-105.271
550.L1S91.s.1.sequence	40.015	-105.271
550.L1S92.s.1.sequence	40.015	-105.271
550.L1S93.s.1.sequence	40.015	-105.271
550.L1S94.s.1.sequence	40.015	-105.271
550.L1S95.s.1.sequence	40.015	-105.271
550.L1S97.s.1.sequence	40.015	-105.271
550.L1S98.s.1.sequence	40.015	-105.271
550.L1S99.s.1.sequence	40.015	-105.271
550.L2S1.s.2.sequence	40.015	-105.271
550.L2S10.s.2.sequence	40.015	-105.271
550.L2S100.s.2.sequence	40.015	-105.271
550.L2S101.s.2.sequence	40.015	-105.271
550.L2S102.s.2.sequence	40.015	-105.271
550.L2S103.s.2.sequence	40.015	-105.271
550.L2S104.s.2.sequence	40.015	-105.271
550.L2S105.s.2.sequence	40.015	-105.271
550.L2S106.s.2.sequence	40.015	-105.271
550.L2S107.s.2.sequence	40.015	-105.271
550.L2S108.s.2.sequence	40.015	-105.271
550.L2S109.s.2.sequence	40.015	-105.271
550.L2S11.s.2.sequence	40.015	-105.271
550.L2S110.s.2.sequence	40.015	-105.271
550.L2S111.s.2.sequence	40.015	-105.271
550.L2S112.s.2.sequence	40.015	-105.271
550.L2S113.s.2.sequence	40.015	-105.271
550.L2S114.s.2.sequence	40.015	-105.271
550.L2S115.s.2.sequence	40.015	-105.271
550.L2S116.s.2.sequence	40.015	-105.271
550.L2S117.s.2.sequence	40.015	-105.271
550.L2S118.s.2.sequence	40.015	-105.271
550.L2S119.s.2.sequence	40.015	-105.271
550.L2S12.s.2.sequence	40.015	-105.271
550.L2S120.s.2.sequence	40.015	-105.271
550.L2S121.s.2.sequence	40.015	-105.271
550.L2S122.s.2.sequence	40.015	-105.271
550.L2S123.s.2.sequence	40.015	-105.271
550.L2S124.s.2.sequence	40.015	-105.271
550.L2S125.s.2.sequence	40.015	-105.271
550.L2S126.s.2.sequence	40.015	-105.271
550.L2S127.s.2.sequence	40.015	-105.271
550.L2S128.s.2.sequence	40.015	-105.271
550.L2S129.s.2.sequence	40.015	-105.271
550.L2S13.s.2.sequence	40.015	-105.271
550.L2S130.s.2.sequence	40.015	-105.271
550.L2S131.s.2.sequence	40.015	-105.271
550.L2S132.s.2.sequence	40.015	-105.271
550.L2S133.s.2.sequence	40.015	-105.271
550.L2S134.s.2.sequence	40.015	-105.271
550.L2S135.s.2.sequence	40.015	-105.271
550.L2S136.s.2.sequence	40.015	-105.271
550.L2S137.s.2.sequence	40.015	-105.271
550.L2S138.s.2.sequence	40.015	-105.271
550.L2S139.s.2.sequence	40.015	-105.271
550.L2S14.s.2.sequence	40.015	-105.271
550.L2S140.s.2.sequence	40.015	-105.271
550.L2S141.s.2.sequence	40.015	-105.271
550.L2S142.s.2.sequence	40.015	-105.271
550.L2S143.s.2.sequence	40.015	-105.271
550.L2S144.s.2.sequence	40.015	-105.271
550.L2S145.s.2.sequence	40.015	-105.271
550.L2S146.s.2.sequence	40.015	-105.271
550.L2S147.s.2.sequence	40.015	-105.271
550.L2S148.s.2.sequence	40.015	-105.271
550.L2S149.s.2.sequence	40.015	-105.271
550.L2S15.s.2.sequence	40.015	-105.271
550.L2S150.s.2.sequence	40.015	-105.271
550.L2S151.s.2.sequence	40.015	-105.271
550.L2S152.s.2.sequence	40.015	-105.271
550.L2S153.s.2.sequence	40.015	-105.271
550.L2S154.s.2.sequence	40.015	-105.271
550.L2S155.s.2.sequence	40.015	-105.271
550.L2S156.s.2.sequence	40.015	-105.271
550.L2S157.s.2.sequence	40.015	-105.271
550.L2S158.s.2.sequence	40.015	-105.271
550.L2S159.s.2.sequence	40.015	-105.271
550.L2S16.s.2.sequence	40.015	-105.271
550.L2S160.s.2.sequence	40.015	-105.271
550.L2S161.s.2.sequence	40.015	-105.271
550.L2S162.s.2.sequence	40.015	-105.271
550.L2S163.s.2.sequence	40.015	-105.271
550.L2S164.s.2.sequence	40.015	-105.271
550.L2S165.s.2.sequence	40.015	-105.271
550.L2S166.s.2.sequence	40.015	-105.271
550.L2S167.s.2.sequence	40.015	-105.271
550.L2S168.s.2.sequence	40.015	-105.271
550.L2S169.s.2.sequence	40.015	-105.271
550.L2S17.s.2.sequence	40.015	-105.271
550.L2S170.s.2.sequence	40.015	-105.271
550.L2S171.s.2.sequence	40.015	-105.271
550.L2S172.s.2.sequence	40.015	-105.271
550.L2S173.s.2.sequence	40.015	-105.271
550.L2S174.s.2.sequence	40.015	-105.271
550.L2S175.s.2.sequence	40.015	-105.271
550.L2S176.s.2.sequence	40.015	-105.271
550.L2S178.s.2.sequence	40.015	-105.271
550.L2S179.s.2.sequence	40.015	-105.271
550.L2S18.s.2.sequence	40.015	-105.271
550.L2S180.s.2.sequence	40.015	-105.271
550.L2S181.s.2.sequence	40.015	-105.271
550.L2S182.s.2.sequence	40.015	-105.271
550.L2S183.s.2.sequence	40.015	-105.271
550.L2S184.s.2.sequence	40.015	-105.271
550.L2S185.s.2.sequence	40.015	-105.271
550.L2S186.s.2.sequence	40.015	-105.271
550.L2S187.s.2.sequence	40.015	-105.271
550.L2S188.s.2.sequence	40.015	-105.271
550.L2S189.s.2.sequence	40.015	-105.271
550.L2S19.s.2.sequence	40.015	-105.271
550.L2S190.s.2.sequence	40.015	-105.271
550.L2S191.s.2.sequence	40.015	-105.271
550.L2S193.s.2.sequence	40.015	-105.271
550.L2S194.s.2.sequence	40.015	-105.271
550.L2S195.s.2.sequence	40.015	-105.271
550.L2S196.s.2.sequence	40.015	-105.271
550.L2S197.s.2.sequence	40.015	-105.271
550.L2S198.s.2.sequence	40.015	-105.271
550.L2S199.s.2.sequence	40.015	-105.271
550.L2S2.s.2.sequence	40.015	-105.271
550.L2S20.s.2.sequence	40.015	-105.271
550.L2S200.s.2.sequence	40.015	-105.271
550.L2S201.s.2.sequence	40.015	-105.271
550.L2S202.s.2.sequence	40.015	-105.271
550.L2S203.s.2.sequence	40.015	-105.271
550.L2S204.s.2.sequence	40.015	-105.271
550.L2S205.s.2.sequence	40.015	-105.271
550.L2S206.s.2.sequence	40.015	-105.271
550.L2S207.s.2.sequence	40.015	-105.271
550.L2S208.s.2.sequence	40.015	-105.271
550.L2S209.s.2.sequence	40.015	-105.271
550.L2S21.s.2.sequence	40.015	-105.271
550.L2S210.s.2.sequence	40.015	-105.271
550.L2S211.s.2.sequence	40.015	-105.271
550.L2S212.s.2.sequence	40.015	-105.271
550.L2S213.s.2.sequence	40.015	-105.271
550.L2S214.s.2.sequence	40.015	-105.271
550.L2S215.s.2.sequence	40.015	-105.271
550.L2S216.s.2.sequence	40.015	-105.271
550.L2S217.s.2.sequence	40.015	-105.271
550.L2S218.s.2.sequence	40.015	-105.271
550.L2S219.s.2.sequence	40.015	-105.271
550.L2S22.s.2.sequence	40.015	-105.271
550.L2S220.s.2.sequence	40.015	-105.271
550.L2S221.s.2.sequence	40.015	-105.271
550.L2S222.s.2.sequence	40.015	-105.271
550.L2S223.s.2.sequence	40.015	-105.271
550.L2S224.s.2.sequence	40.015	-105.271
550.L2S225.s.2.sequence	40.015	-105.271
550.L2S226.s.2.sequence	40.015	-105.271
550.L2S227.s.2.sequence	40.015	-105.271
550.L2S228.s.2.sequence	40.015	-105.271
550.L2S229.s.2.sequence	40.015	-105.271
550.L2S23.s.2.sequence	40.015	-105.271
550.L2S230.s.2.sequence	40.015	-105.271
550.L2S231.s.2.sequence	40.015	-105.271
550.L2S232.s.2.sequence	40.015	-105.271
550.L2S233.s.2.sequence	40.015	-105.271
550.L2S234.s.2.sequence	40.015	-105.271
550.L2S235.s.2.sequence	40.015	-105.271
550.L2S236.s.2.sequence	40.015	-105.271
550.L2S237.s.2.sequence	40.015	-105.271
550.L2S238.s.2.sequence	40.015	-105.271
550.L2S239.s.2.sequence	40.015	-105.271
550.L2S24.s.2.sequence	40.015	-105.271
550.L2S240.s.2.sequence	40.015	-105.271
550.L2S241.s.2.sequence	40.015	-105.271
550.L2S242.s.2.sequence	40.015	-105.271
550.L2S243.s.2.sequence	40.015	-105.271
550.L2S244.s.2.sequence	40.015	-105.271
550.L2S245.s.2.sequence	40.015	-105.271
550.L2S246.s.2.sequence	40.015	-105.271
550.L2S247.s.2.sequence	40.015	-105.271
550.L2S248.s.2.sequence	40.015	-105.271
550.L2S249.s.2.sequence	40.015	-105.271
550.L2S25.s.2.sequence	40.015	-105.271
550.L2S250.s.2.sequence	40.015	-105.271
550.L2S251.s.2.sequence	40.015	-105.271
550.L2S252.s.2.sequence	40.015	-105.271
550.L2S253.s.2.sequence	40.015	-105.271
550.L2S254.s.2.sequence	40.015	-105.271
550.L2S255.s.2.sequence	40.015	-105.271
550.L2S256.s.2.sequence	40.015	-105.271
550.L2S257.s.2.sequence	40.015	-105.271
550.L2S258.s.2.sequence	40.015	-105.271
550.L2S259.s.2.sequence	40.015	-105.271
550.L2S26.s.2.sequence	40.015	-105.271
550.L2S260.s.2.sequence	40.015	-105.271
550.L2S261.s.2.sequence	40.015	-105.271
550.L2S262.s.2.sequence	40.015	-105.271
550.L2S263.s.2.sequence	40.015	-105.271
550.L2S264.s.2.sequence	40.015	-105.271
550.L2S265.s.2.sequence	40.015	-105.271
550.L2S267.s.2.sequence	40.015	-105.271
550.L2S268.s.2.sequence	40.015	-105.271
550.L2S269.s.2.sequence	40.015	-105.271
550.L2S270.s.2.sequence	40.015	-105.271
550.L2S271.s.2.sequence	40.015	-105.271
550.L2S272.s.2.sequence	40.015	-105.271
550.L2S273.s.2.sequence	40.015	-105.271
550.L2S274.s.2.sequence	40.015	-105.271
550.L2S275.s.2.sequence	40.015	-105.271
550.L2S276.s.2.sequence	40.015	-105.271
550.L2S277.s.2.sequence	40.015	-105.271
550.L2S278.s.2.sequence	40.015	-105.271
550.L2S279.s.2.sequence	40.015	-105.271
550.L2S28.s.2.sequence	40.015	-105.271
550.L2S280.s.2.sequence	40.015	-105.271
550.L2S281.s.2.sequence	40.015	-105.271
550.L2S282.s.2.sequence	40.015	-105.271
550.L2S283.s.2.sequence	40.015	-105.271
550.L2S284.s.2.sequence	40.015	-105.271
550.L2S285.s.2.sequence	40.015	-105.271
550.L2S286.s.2.sequence	40.015	-105.271
550.L2S287.s.2.sequence	40.015	-105.271
550.L2S289.s.2.sequence	40.015	-105.271
550.L2S29.s.2.sequence	40.015	-105.271
550.L2S290.s.2.sequence	40.015	-105.271
550.L2S291.s.2.sequence	40.015	-105.271
550.L2S292.s.2.sequence	40.015	-105.271
