Site_ID,Latitude,Longitude
1140,37.117436,-116.049992
1141,37.117436,-116.049992
1142,37.117436,-116.049992
1143,37.117436,-116.049992
1144,37.117436,-116.049992
1145,37.117436,-116.049992
1146,37.117436,-116.049992
1147,37.117436,-116.049992
1148,37.117436,-116.049992
1149,37.117436,-116.049992
1150,37.117436,-116.049992
1151,37.117436,-116.049992
1152,37.117436,-116.049992
1153,37.117436,-116.049992
1154,37.117436,-116.049992
1155,37.117436,-116.049992
1156,37.117436,-116.049992
1157,37.117436,-116.049992
1158,37.117436,-116.049992
1159,37.117436,-116.049992
1160,37.117436,-116.049992
1161,37.117436,-116.049992
1162,37.117436,-116.049992
1163,37.117436,-116.049992
1164,37.117436,-116.049992
1165,39.849242,-105.910086
1166,39.849242,-105.910086
1167,39.067936,-79.676339
1168,39.067936,-79.676339
1169,39.067936,-79.676339
1170,39.067936,-79.676339
1171,32.522925,-92.6443393
1172,32.522925,-92.6443393
1173,31.146958,-92.496286
1174,31.146958,-92.496286
1175,31.902908,-92.242803
1176,31.902908,-92.242803
1177,31.863861,-92.296011
1178,31.863861,-92.296011
1179,31.105303,-92.636614
1180,41.640928,-114968494
1181,41.640928,-114968494
1182,41.721978,-112.882978
1183,43.518161,-112.996803
1184,21.33333,103.58333
1185,21.33333,103.58333
1186,21.33333,103.58333
1187,21.33333,103.58333
1188,21.33333,103.58333
1189,21.33333,103.58333
1190,21.33333,103.58333
1191,21.33333,103.58333
1192,21.33333,103.58333
1193,21.33333,103.58333
1194,21.33333,103.58333
1195,21.33333,103.58333
1196,21.33333,103.58333
1197,-2.347464,9.615004
1198,-2.40778,10.338825
1199,-2.734498,10.082635
1200,-1.907225,9.853757
1201,-1.711624,9.811753
1202,40.066275,-112.55117
1203,40.066275,-112.55117
1204,46.484575,-119.330506
1205,46.484575,-119.330506
1206,3.743333,17.559444
1207,3.9225,16.984167
1208,3.9,17.033333
1209,3.762222,17.514167
1210,4.013333,17.067222
1211,3.933333,16.983333
1212,3.9,17.033333
1213,46.66,-119.519444
1214,46.66,-119.519444
1215,46.66,-119.519444
1216,46.66,-119.519444
1217,46.66,-119.519444
1218,46.66,-119.519444
1219,46.66,-119.519444
1220,46.66,-119.519444
1221,46.66,-119.519444
1222,46.66,-119.519444
1223,46.66,-119.519444
1224,46.66,-119.519444
